Page: 1

Table: Table_1
Location ,N ,GHSI Score ,GHSI Rank ,d* ,x2 ,p- value ,K-S Statistic ,Cut-off ,Difference ,LDI ,LD2 ,LD3 ,LD4 ,LD5 ,LD6 ,LD7 ,LD8 ,LD9 ,
Belgium ,608 ,61 ,19 ,0.07271 ,10.08304 ,0.00646 ,0.08221 ,0.05516 ,1.49053 ,0.35855 ,0.20066 ,0.10033 ,0.06908 ,0.07895 ,0.05757 ,0.06086 ,0.03783 ,0.03618 ,
Benin ,101 ,28.8 ,150 ,0.05215 ,1.69873 ,0.42769 ,0.06137 ,0.13533 ,0.45347 ,0.32673 ,0.18812 ,0.14851 ,0.08911 ,0.07921 ,0.06931 ,0.02970 ,0.04950 ,0.01980 ,
Bolivia ,551 ,35.8 ,102 ,0.04306 ,2.05381 ,0.35811 ,0.03480 ,0.05794 ,0.60059 ,0.32849 ,0.18330 ,0.11252 ,0.08348 ,0.07441 ,0.07623 ,0.05263 ,0.06534 ,0.02359 ,
Bosnia and ,347 ,42.8 ,79 ,0.10367 ,18.81294 ,0.00008 ,0.09160 ,0.07301 ,1.25464 ,0.26225 ,0.24784 ,0.15850 ,0.09510 ,0.08646 ,0.08646 ,0.01153 ,0.02017 ,0.03170 ,

Brazil ,395 ,59.7 ,22 ,0.06836 ,1.89846 ,0.38704 ,0.03065 ,0.06843 ,0.44784 ,0.33165 ,0.12658 ,0.12405 ,0.12658 ,0.08608 ,0.07848 ,0.03544 ,0.04304 ,0.04810 ,
Bulgaria ,462 ,45.6 ,61 ,0.04123 ,1.80008 ,0.40655 ,0.04952 ,0.06327 ,0.78256 ,0.32251 ,0.18831 ,0.14069 ,0.08874 ,0.0606 ,0.06277 ,0.03896 ,0.06061 ,0.03680 ,
Burkina Faso ,195 ,30.1 ,145 ,0.1381 ,16.93120 ,0.00021 ,0.13133 ,0.09739 ,1.34851 ,0.43077 ,0.16923 ,0.13333 ,0.06154 ,0.05641 ,0.04103 ,0.05128 ,0.0205 ,0.03590 ,
Cameroon ,173 ,34.4 ,115 ,0.08423 ,7.04689 ,0.02950 ,0.09869 ,0.10340 ,0.95444 ,0.36416 ,0.19075 ,0.13873 ,0.10405 ,0.05780 ,0.06936 ,0.01156 ,0.03468 ,0.02890 ,
Canada ,580 ,75.3 ,5 ,0.07156 ,4.25977 ,0.11885 ,0.04810 ,0.05647 ,0.85183 ,0.30345 ,0.13966 ,0.15345 ,0.14483 ,0.07069 ,0.08103 ,0.04138 ,0.03103 ,0.03448 ,
Cape Verde ,205 ,- ,- ,0.08646 ,5.42766 ,0.06628 ,0.07461 ,0.09499 ,0.78548 ,0.37561 ,0.17561 ,0.10732 ,0.09268 ,0.04878 ,0.07805 ,0.06829 ,0.03415 ,0.01951 ,
Central African Republic ,135 ,27.3 ,159 ,0.09701 ,4.88803 ,0.08681 ,0.08419 ,0.11705 ,0.71922 ,0.38519 ,0.17037 ,0.08148 ,0.08889 ,0.05926 ,0.06667 ,0.05926 ,0.02963 ,0.05926 ,







Chad ,159 ,28.8 ,150 ,0.13540 ,13.67373 ,0.00107 ,0.16451 ,0.10786 ,1.52528 ,0.40881 ,0.23270 ,0.11950 ,0.08176 ,0.03774 ,0.04403 ,0.01887 ,0.03145 ,0.02516 ,
Chile ,571 ,58.3 ,27 ,0.06224 ,15.94647 ,0.00034 ,0.07858 ,0.05691 ,1.38073 ,0.34851 ,0.19440 ,0.13135 ,0.10333 ,0.06655 ,0.05604 ,0.03678 ,0.02452 ,0.03853 ,
China ,392 ,48.2 ,51 ,0.05438 ,3.86447 ,0.14482 ,0.06382 ,0.06869 ,0.92904 ,0.33163 ,0.20663 ,0.12755 ,0.09439 ,0.05612 ,0.05102 ,0.04337 ,0.03571 ,0.05357 ,
Colombia ,581 ,44.2 ,65 ,0.08465 ,1.30055 ,0.52190 ,0.08991 ,0.05642 ,1.59353 ,0.29776 ,0.23580 ,0.15835 ,0.06713 ,0.03614 ,0.05680 ,0.06540 ,0.04475 ,0.03787 ,
Congo ,527 ,27.2 ,160 ,0.06129 ,7.29080 ,0.02611 ,0.07330 ,0.05924 ,1.23722 ,0.34345 ,0.17837 ,0.14991 ,0.10057 ,0.04744 ,0.05313 ,0.05123 ,0.03226 ,0.04364 ,
Costa Rica ,481 ,45.1 ,62 ,0.11157 ,26.56976 ,0.00000 ,0.10233 ,0.06201 ,1.65014 ,0.40333 ,0.16008 ,0.08316 ,0.07277 ,0.06237 ,0.06237 ,0.05821 ,0.05198 ,0.04574 ,
Cote d'Ivoire ,410 ,45.1 ,62 ,0.04285 ,2.67676 ,0.26227 ,0.02932 ,0.06717 ,0.43649 ,0.32927 ,0.16098 ,0.13415 ,0.08780 ,0.09512 ,0.04634 ,0.05854 ,0.04146 ,0.04634 ,
Croatia ,498 ,53.3 ,38 ,0.07123 ,9.76902 ,0.00756 ,0.05111 ,0.06094 ,0.83869 ,0.34739 ,0.18072 ,0.10643 ,0.04819 ,0.07229 ,0.07631 ,0.04819 ,0.05823 ,0.06225 ,
Cuba ,440 ,35.2 ,110 ,0.07064 ,20.08709 ,0.00004 ,0.07827 ,0.06484 ,1.20725 ,0.28409 ,0.22045 ,0.15909 ,0.11364 ,0.07727 ,0.04091 ,0.04773 ,0.03636 ,0.02045 ,
Cyprus ,189 ,43 ,77 ,0.08111 ,2.66605 ,0.26368 ,0.10699 ,0.09893 ,1.08157 ,0.34392 ,0.22222 ,0.14286 ,0.05820 ,0.05291 ,0.05820 ,0.04762 ,0.04762 ,0.02646 ,
Czech Republic ,577 ,52 ,42 ,0.06569 ,7.46975 ,0.02388 ,0.06647 ,0.05662 ,1.17404 ,0.25130 ,0.17158 ,0.11265 ,0.11438 ,0.09879 ,0.06759 ,0.09012 ,0.06066 ,0.03293 ,
Democratic ,413 ,52 ,42 ,0.05671 ,1.93230 ,0.38054 ,0.05417 ,0.06692 ,0.80952 ,0.31477 ,0.16949 ,0.17191 ,0.09685 ,0.05327 ,0.06053 ,0.05327 ,0.03390 ,0.04600 ,

Denmark ,520 ,70.4 ,8 ,0.14067 ,44.12875 ,0.00000 ,0.13362 ,0.05964 ,2.24037 ,0.43462 ,0.13462 ,0.11538 ,0.07692 ,0.05769 ,0.04231 ,0.05192 ,0.04231 ,0.04423 ,
Djibouti ,171 ,23.2 ,175 ,0.08462 ,2.21787 ,0.32991 ,0.09391 ,0.10400 ,0.90293 ,0.35088 ,0.20468 ,0.14035 ,0.05848 ,0.05263 ,0.03509 ,0.04094 ,0.07602 ,0.04094 ,
Dominican ,546 ,38.3 ,91 ,0.03805 ,1.28909 ,0.52490 ,0.03726 ,0.05820 ,0.64024 ,0.30037 ,0.19231 ,0.14652 ,0.09707 ,0.06044 ,0.05128 ,0.04945 ,0.06227 ,0.04029 ,

Ecuador ,557 ,50.1 ,45 ,0.04613 ,4.05822 ,0.13145 ,0.02990 ,0.05763 ,0.51896 ,0.27110 ,0.19749 ,0.11490 ,0.12208 ,0.08438 ,0.06643 ,0.05386 ,0.03950 ,0.05027 ,
Egypt ,384 ,39.9 ,87 ,0.16732 ,46.55207 ,0.00000 ,0.15733 ,0.06940 ,2.26698 ,0.45833 ,0.13281 ,0.09635 ,0.08073 ,0.03646 ,0.04948 ,0.04427 ,0.05729 ,0.04427 ,
El Salvador ,455 ,44.2 ,65 ,0.23408 ,17.14973 ,0.00019 ,0.15816 ,0.06376 ,2.48071 ,0.23956 ,0.39560 ,0.07033 ,0.07033 ,0.03736 ,0.03077 ,0.05714 ,0.04615 ,0.05275 ,
Estonia ,428 ,57 ,29 ,0.07941 ,10.79072 ,0.00454 ,0.07283 ,0.06574 ,1.10791 ,0.37383 ,0.17290 ,0.11916 ,0.06542 ,0.07009 ,0.06542 ,0.05841 ,0.04673 ,0.02804 ,
Ethiopia ,465 ,40.6 ,84 ,0.08580 ,14.90725 ,0.00058 ,0.07534 ,0.06307 ,1.19464 ,0.37634 ,0.14624 ,0.09677 ,0.07957 ,0.07527 ,0.05591 ,0.06452 ,0.05161 ,0.05376 ,
Finland ,483 ,68.7 ,10 ,0.06274 ,6.92929 ,0.03128 ,0.06958 ,0.06188 ,1.12446 ,0.35197 ,0.19462 ,0.09938 ,0.08489 ,0.08075 ,0.05176 ,0.04348 ,0.04555 ,0.04762 ,
France ,519 ,68.2 ,11 ,0.04589 ,0.55742 ,0.75676 ,0.03962 ,0.05970 ,0.66369 ,0.28709 ,0.15029 ,0.12524 ,0.12524 ,0.09056 ,0.05588 ,0.07129 ,0.04046 ,0.05395 ,
Gabon ,142 ,20 ,186 ,0.18313 ,19.69751 ,0.00005 ,0.17083 ,0.11413 ,1.49683 ,0.47183 ,0.16197 ,0.09859 ,0.05634 ,0.04225 ,0.03521 ,0.02817 ,0.07746 ,0.02817 ,
Gambia ,118 ,34.2 ,117 ,0.16104 ,14.77914 ,0.00062 ,0.16071 ,0.12520 ,1.28366 ,0.44915 ,0.18644 ,0.12712 ,0.08475 ,0.03390 ,0.05085 ,0.03390 ,0.00000 ,0.03390 ,
Georgia ,208 ,52 ,42 ,0.07379 ,2.74890 ,0.25298 ,0.04515 ,0.09430 ,0.47884 ,0.34615 ,0.16827 ,0.10096 ,0.06250 ,0.09135 ,0.07212 ,0.02885 ,0.08173 ,0.04808 ,
Germany ,408 ,66 ,14 ,0.03210 ,0.25456 ,0.88049 ,0.02592 ,0.06733 ,0.38499 ,0.31127 ,0.16912 ,0.12990 ,0.09559 ,0.07108 ,0.08333 ,0.06863 ,0.02941 ,0.04167 ,







Ghana ,346 ,35.5 ,105 ,0.04689 ,1.20564 ,0.54727 ,0.02643 ,0.07311 ,0.36154 ,0.28902 ,0.16763 ,0.16474 ,0.10405 ,0.06936 ,0.04913 ,0.06647 ,0.04913 ,0.04046 ,
Greece ,485 ,53.8 ,37 ,0.05685 ,9.01946 ,0.01100 ,0.05779 ,0.06175 ,0.93587 ,0.29485 ,0.21443 ,0.15052 ,0.08247 ,0.08660 ,0.06598 ,0.04742 ,0.02268 ,0.03505 ,
Guam ,150 ,- ,- ,0.08399 ,6.44431 ,0.03987 ,0.10300 ,0.11104 ,0.92756 ,0.36000 ,0.22000 ,0.12000 ,0.08667 ,0.07333 ,0.04000 ,0.02667 ,0.04000 ,0.03333 ,
Guatemala ,339 ,32.7 ,125 ,0.06138 ,2.62983 ,0.26850 ,0.06762 ,0.07387 ,0.91541 ,0.29794 ,0.21829 ,0.15339 ,0.09440 ,0.04720 ,0.05605 ,0.04130 ,0.05015 ,0.04130 ,
Guinea ,412 ,32.7 ,125 ,0.07391 ,7.95633 ,0.01872 ,0.06308 ,0.06700 ,0.94142 ,0.36408 ,0.14563 ,0.10194 ,0.10437 ,0.08981 ,0.06311 ,0.05583 ,0.03883 ,0.03641 ,
Guyana ,184 ,31.7 ,137 ,0.12139 ,12.89060 ,0.00159 ,0.12626 ,0.10026 ,1.25933 ,0.41304 ,0.19022 ,0.11957 ,0.08152 ,0.04891 ,0.03804 ,0.05435 ,0.02174 ,0.03261 ,
Haiti ,243 ,31.5 ,138 ,0.08882 ,10.31992 ,0.00574 ,0.11993 ,0.08724 ,1.37465 ,0.35802 ,0.21399 ,0.14403 ,0.10288 ,0.04115 ,0.05761 ,0.04115 ,0.02058 ,0.02058 ,
Honduras ,353 ,27.6 ,156 ,0.07894 ,2.64277 ,0.26677 ,0.09208 ,0.07239 ,1.27215 ,0.30312 ,0.11898 ,0.08782 ,0.12465 ,0.11048 ,0.07932 ,0.06516 ,0.05666 ,0.05382 ,
Hungary ,526 ,54 ,35 ,0.04971 ,3.20087 ,0.20181 ,0.06530 ,0.05930 ,1.10121 ,0.31939 ,0.19202 ,0.15589 ,0.08365 ,0.05894 ,0.04943 ,0.04373 ,0.05323 ,0.04373 ,
Iceland ,366 ,46.3 ,58 ,0.06730 ,3.55047 ,0.16944 ,0.06785 ,0.07109 ,0.95448 ,0.30328 ,0.12842 ,0.11749 ,0.08197 ,0.10929 ,0.09563 ,0.06831 ,0.06557 ,0.03005 ,
India ,573 ,46.5 ,57 ,0.08859 ,43.89474 ,0.00000 ,0.10435 ,0.05681 ,1.83671 ,0.31065 ,0.11344 ,0.10995 ,0.07853 ,0.06108 ,0.08551 ,0.06806 ,0.07853 ,0.09424 ,
Indonesia ,541 ,56.6 ,30 ,0.05831 ,6.10700 ,0.04719 ,0.04835 ,0.05847 ,0.82696 ,0.34935 ,0.14972 ,0.13678 ,0.09612 ,0.06654 ,0.06285 ,0.05360 ,0.05545 ,0.02957 ,
Iran ,548 ,37.7 ,97 ,0.27089 ,44.30276 ,0.00000 ,0.31862 ,0.05810 ,5.48435 ,0.39416 ,0.40146 ,0.03467 ,0.02190 ,0.03285 ,0.02555 ,0.03285 ,0.02190 ,0.03467 ,
Iraq ,513 ,25.8 ,167 ,0.05289 ,4.13433 ,0.12654 ,0.04188 ,0.06005 ,0.69749 ,0.28460 ,0.20078 ,0.11501 ,0.09357 ,0.04678 ,0.06238 ,0.08577 ,0.06433 ,0.04678 ,
Ireland ,515 ,59 ,23 ,0.04818 ,2.36925 ,0.30586 ,0.04593 ,0.05993 ,0.76644 ,0.26990 ,0.16117 ,0.15146 ,0.11456 ,0.07184 ,0.06796 ,0.04854 ,0.06019 ,0.05437 ,
Israel ,597 ,47.3 ,54 ,0.08123 ,17.97054 ,0.00013 ,0.08749 ,0.05566 ,1.57182 ,0.37688 ,0.18760 ,0.11390 ,0.07873 ,0.06533 ,0.05360 ,0.05025 ,0.03518 ,0.03853 ,
Italy ,587 ,56.2 ,31 ,0.08763 ,25.49936 ,0.00000 ,0.06420 ,0.05613 ,1.14376 ,0.23680 ,0.21976 ,0.15332 ,0.11584 ,0.09199 ,0.07496 ,0.04600 ,0.02896 ,0.03237 ,
Jamaica ,208 ,29 ,147 ,0.08741 ,2.00040 ,0.36781 ,0.08550 ,0.09430 ,0.90669 ,0.34135 ,0.22115 ,0.09615 ,0.07212 ,0.07692 ,0.10096 ,0.03365 ,0.04808 ,0.00962 ,
Japan ,423 ,59.8 ,21 ,0.05300 ,3.51027 ,0.17288 ,0.03706 ,0.06613 ,0.56047 ,0.33806 ,0.14894 ,0.11820 ,0.11584 ,0.08511 ,0.06619 ,0.04965 ,0.05201 ,0.02600 ,
Jordan ,211 ,42.1 ,80 ,0.06803 ,1.73080 ,0.42088 ,0.05855 ,0.09363 ,0.62531 ,0.34123 ,0.19431 ,0.08531 ,0.10900 ,0.05213 ,0.08531 ,0.05687 ,0.03791 ,0.03791 ,
Kazakhstan ,459 ,40.7 ,83 ,0.13934 ,36.60016 ,0.00000 ,0.15917 ,0.06348 ,2.50736 ,0.42048 ,0.21569 ,0.11111 ,0.07843 ,0.03268 ,0.03050 ,0.03268 ,0.03268 ,0.04575 ,
Kenya ,469 ,47.1 ,55 ,0.05529 ,9.39866 ,0.00910 ,0.05052 ,0.06280 ,0.80451 ,0.27292 ,0.19403 ,0.14925 ,0.12154 ,0.08102 ,0.07676 ,0.03838 ,0.03838 ,0.02772 ,
Kosovo ,299 ,- ,- ,0.11847 ,22.40348 ,0.00001 ,0.10034 ,0.07865 ,1.27574 ,0.40134 ,0.14716 ,0.08696 ,0.07023 ,0.04013 ,0.06355 ,0.07358 ,0.05686 ,0.06020 ,
Kuwait ,500 ,46.1 ,59 ,0.19464 ,68.90437 ,0.00000 ,0.18300 ,0.06082 ,3.00883 ,0.13200 ,0.16200 ,0.17400 ,0.18200 ,0.09200 ,0.10800 ,0.06800 ,0.05400 ,0.02800 ,
Kyrgyzstan ,263 ,- ,- ,0.05160 ,1.66759 ,0.43440 ,0.05765 ,0.08386 ,0.68749 ,0.30418 ,0.19772 ,0.13688 ,0.11787 ,0.05323 ,0.04183 ,0.07224 ,0.03422 ,0.04183 ,
Latvia ,416 ,62.9 ,17 ,0.20395 ,76.72280 ,0.00000 ,0.19660 ,0.06668 ,2.94838 ,0.49760 ,0.16827 ,0.08654 ,0.06490 ,0.03365 ,0.04327 ,0.04087 ,0.03606 ,0.02885 ,
Lebanon ,290 ,43.1 ,73 ,0.06173 ,2.24802 ,0.32497 ,0.03693 ,0.07986 ,0.46244 ,0.33793 ,0.15862 ,0.08621 ,0.09655 ,0.09655 ,0.08621 ,0.06207 ,0.04138 ,0.03448 ,
Liberia ,192 ,35.1 ,111 ,0.14714 ,24.03366 ,0.00001 ,0.15321 ,0.09815 ,1.56097 ,0.43750 ,0.18229 ,0.13542 ,0.07292 ,0.06771 ,0.03646 ,0.01563 ,0.03125 ,0.02083 ,







Libya ,396 ,25.7 ,168 ,0.04879 ,8.06399 ,0.01774 ,0.05073 ,0.06834 ,0.74225 ,0.31313 ,0.14141 ,0.12626 ,0.0808I ,0.06566 ,0.08586 ,0.07576 ,0.05808 ,0.05303 ,
Lithuania ,366 ,55 ,33 ,0.10286 ,15.45418 ,0.00044 ,0.08629 ,0.07109 ,1.21384 ,0.24863 ,0.14208 ,0.17213 ,0.13661 ,0.12842 ,0.06011 ,0.06284 ,0.03005 ,0.01913 ,
Luxembourg ,444 ,43.8 ,67 ,0.07480 ,16.00578 ,0.00033 ,0.04827 ,0.06454 ,0.74788 ,0.34685 ,0.13514 ,0.09685 ,0.07883 ,0.07207 ,0.07432 ,0.07658 ,0.07658 ,0.04279 ,
Madagascar ,253 ,40.1 ,86 ,0.08334 ,0.82851 ,0.66083 ,0.03618 ,0.08550 ,0.42312 ,0.27668 ,0.20158 ,0.10277 ,0.15415 ,0.04348 ,0.09091 ,0.04348 ,0.05929 ,0.02767 ,
Malawi ,345 ,28 ,154 ,0.07303 ,0.77668 ,0.67818 ,0.05707 ,0.07322 ,0.77947 ,0.29565 ,0.13043 ,0.11884 ,0.12754 ,0.12174 ,0.04638 ,0.07246 ,0.03768 ,0.04928 ,
Malaysia ,458 ,62.2 ,18 ,0.10324 ,27.05785 ,0.00000 ,0.06363 ,0.06355 ,1.00126 ,0.36463 ,0.10699 ,0.08952 ,0.07642 ,0.08297 ,0.08734 ,0.07205 ,0.06769 ,0.05240 ,
Maldives ,364 ,33.8 ,121 ,0.15960 ,54.00684 ,0.00000 ,0.12482 ,0.07128 ,1.75110 ,0.42582 ,0.11264 ,0.06044 ,0.07143 ,0.04121 ,0.07967 ,0.06868 ,0.06044 ,0.07967 ,
Mali ,239 ,29 ,147 ,0.13518 ,18.14028 ,0.00012 ,0.17154 ,0.08797 ,1.94991 ,0.38912 ,0.25941 ,0.11715 ,0.05858 ,0.05858 ,0.02929 ,0.03766 ,0.02929 ,0.02092 ,
Malta ,390 ,37.3 ,98 ,0.13200 ,29.48816 ,0.00000 ,0.11438 ,0.06887 ,1.66097 ,0.41538 ,0.14872 ,0.07436 ,0.06154 ,0.06923 ,0.05641 ,0.05385 ,0.04615 ,0.07436 ,
Mauritania ,130 ,27.5 ,157 ,0.10658 ,8.38475 ,0.01511 ,0.09900 ,0.11928 ,0.82998 ,0.40000 ,0.16154 ,0.11538 ,0.10000 ,0.08462 ,0.03846 ,0.04615 ,0.03846 ,0.01538 ,
Mexico ,647 ,57.6 ,28 ,0.09477 ,5.42082 ,0.06651 ,0.09659 ,0.05347 ,1.80654 ,0.26275 ,0.12519 ,0.11747 ,0.14065 ,0.10510 ,0.11283 ,0.07264 ,0.04019 ,0.02318 ,
Moldova ,373 ,42.9 ,78 ,0.04943 ,2.08433 ,0.35269 ,0.03144 ,0.07042 ,0.44647 ,0.32172 ,0.14477 ,0.12064 ,0.08043 ,0.09383 ,0.08311 ,0.07507 ,0.04558 ,0.03485 ,
Montenegro ,215 ,43.7 ,68 ,0.06039 ,3.89547 ,0.14260 ,0.07593 ,0.09275 ,0.81864 ,0.33488 ,0.18605 ,0.12558 ,0.09302 ,0.09302 ,0.08837 ,0.02791 ,0.03256 ,0.01860 ,
Morocco ,546 ,43.7 ,68 ,0.14029 ,29.96671 ,0.00000 ,0.17685 ,0.05820 ,3.03846 ,0.39377 ,0.26007 ,0.09524 ,0.06044 ,0.04396 ,0.03480 ,0.04762 ,0.02198 ,0.04212 ,
Mozambique ,370 ,28.1 ,153 ,0.09656 ,14.70393 ,0.00064 ,0.06657 ,0.07070 ,0.94151 ,0.36757 ,0.17027 ,0.05676 ,0.07568 ,0.07568 ,0.08108 ,0.05676 ,0.06486 ,0.05135 ,
Namibia ,282 ,35.6 ,104 ,0.15868 ,31.69942 ,0.00000 ,0.14935 ,0.08099 ,1.84418 ,0.45035 ,0.13475 ,0.09574 ,0.06738 ,0.04610 ,0.06028 ,0.05674 ,0.03901 ,0.04965 ,
Nepal ,448 ,35.1 ,111 ,0.08207 ,8.41155 ,0.01491 ,0.06284 ,0.06425 ,0.97798 ,0.36384 ,0.12723 ,0.12054 ,0.12054 ,0.06473 ,0.06696 ,0.05357 ,0.04464 ,0.03795 ,
Netherlands ,373 ,75.6 ,3 ,0.08115 ,7.16578 ,0.02780 ,0.05557 ,0.07042 ,0.78912 ,0.35657 ,0.14477 ,0.08043 ,0.0831 ,0.10456 ,0.07775 ,0.05362 ,0.05630 ,0.04290 ,
New Zealand ,354 ,54 ,35 ,0.06827 ,3.01711 ,0.22123 ,0.04959 ,0.07228 ,0.68602 ,0.27966 ,0.23446 ,0.13277 ,0.10169 ,0.05367 ,0.05367 ,0.06497 ,0.04520 ,0.03390 ,
Niger ,163 ,32.2 ,132 ,0.11946 ,8.09486 ,0.01747 ,0.13036 ,0.10652 ,1.22379 ,0.39877 ,0.20859 ,0.09816 ,0.06135 ,0.06748 ,0.08589 ,0.01840 ,0.03067 ,0.03067 ,
Nigeria ,457 ,37.8 ,96 ,0.05216 ,12.16552 ,0.00228 ,0.06528 ,0.06362 ,1.02619 ,0.30416 ,0.17724 ,0.15755 ,0.10722 ,0.09628 ,0.06783 ,0.03282 ,0.03282 ,0.02407 ,
Norway ,449 ,64.6 ,16 ,0.06981 ,14.90613 ,0.00058 ,0.08274 ,0.06418 ,1.28910 ,0.34076 ,0.16036 ,0.16258 ,0.11804 ,0.07127 ,0.04454 ,0.03786 ,0.04009 ,0.02450 ,
Oman ,360 ,43.1 ,73 ,0.04838 ,2.81323 ,0.24497 ,0.03789 ,0.07168 ,0.52860 ,0.33889 ,0.16389 ,0.13056 ,0.08889 ,0.05556 ,0.06944 ,0.04444 ,0.05278 ,0.05556 ,
Pakistan ,562 ,35.5 ,105 ,0.09054 ,8.23524 ,0.01628 ,0.05147 ,0.05737 ,0.89718 ,0.26868 ,0.25979 ,0.11032 ,0.09253 ,0.07473 ,0.07295 ,0.05160 ,0.03381 ,0.03559 ,
Palestine ,259 ,- ,- ,0.13227 ,11.48345 ,0.00321 ,0.14109 ,0.08451 ,1.66961 ,0.20463 ,0.13127 ,0.15830 ,0.16602 ,0.09266 ,0.09266 ,0.07722 ,0.03089 ,0.04633 ,
Panama ,576 ,43.7 ,68 ,0.02917 ,3.52989 ,0.17120 ,0.02903 ,0.05667 ,0.51225 ,0.30729 ,0.17882 ,0.11285 ,0.07813 ,0.07292 ,0.06597 ,0.07292 ,0.05903 ,0.05208 ,
Paraguay ,470 ,35.7 ,103 ,0.09253 ,17.16408 ,0.00019 ,0.10598 ,0.06273 ,1.68939 ,0.38085 ,0.20213 ,0.11489 ,0.08511 ,0.05106 ,0.04894 ,0.03191 ,0.04894 ,0.03617 ,
Peru ,562 ,49.2 ,49 ,0.05480 ,0.36721 ,0.83227 ,0.03216 ,0.05737 ,0.56059 ,0.30783 ,0.13701 ,0.16014 ,0.11032 ,0.07295 ,0.07473 ,0.04804 ,0.04982 ,0.03915 ,







Philippines ,558 ,47.6 ,53 ,0.07195 ,7.54699 ,0.02297 ,0.06108 ,0.05757 ,1.06095 ,0.27599 ,0.21326 ,0.17384 ,0.08961 ,0.05735 ,0.04839 ,0.04301 ,0.05735 ,0.04122 ,
